;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;SG_UF_ESC;SG_UF_PROVA;TP_LINGUA;TP_SEXO;IN_TREINEIRO;TP_ANO_CONCLUIU;TP_COR_RACA;TP_DEPENDENCIA_ADM_ESC;TP_ENSINO;TP_ESCOLA;TP_ESTADO_CIVIL;TP_FAIXA_ETARIA;TP_LOCALIZACAO_ESC;TP_NACIONALIDADE;TP_SIT_FUNC_ESC;TP_ST_CONCLUSAO
1759694;C;E;C;B;5;E;A;C;E;B;B;B;B;B;B;B;A;A;B;A;B;D;A;A;B;MT;MT;1;M;0;;3.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
847445;B;B;A;A;6;B;A;B;E;A;B;B;A;A;A;A;A;A;B;A;A;E;A;A;B;;BA;0;F;1;;2.0;;;;1.0;2;;1.0;;3
2217824;F;F;D;D;4;M;C;E;E;C;A;C;B;B;A;B;A;B;E;A;A;E;A;C;B;;MG;1;F;0;1.0;1.0;;;;1.0;3;;1.0;;1
877127;;B;;B;1;A;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;A;;PI;1;M;0;3.0;2.0;;;;1.0;7;;1.0;;1
858862;B;C;A;A;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B;;MG;0;F;0;;1.0;;1.0;2.0;1.0;3;;1.0;;2
983052;C;F;C;B;5;E;A;C;D;B;B;B;B;A;A;A;A;A;B;A;A;E;A;A;B;;MA;1;M;0;;3.0;;1.0;2.0;1.0;2;;1.0;;2
1002389;G;E;E;B;4;K;A;D;D;C;A;C;C;B;A;B;A;B;E;B;B;B;A;E;B;;CE;0;M;0;2.0;1.0;;;;1.0;4;;1.0;;1
482515;B;B;A;B;2;C;A;B;C;A;A;B;A;B;A;B;A;A;B;B;A;C;A;A;B;;PE;0;F;0;;3.0;;;;1.0;9;;1.0;;1
296786;G;G;E;;3;L;A;C;D;B;A;B;B;B;A;B;A;B;D;A;B;D;B;C;B;;RJ;0;F;1;;1.0;;;;1.0;1;;1.0;;3
1135431;C;C;;;6;C;A;C;C;A;C;B;B;A;A;B;A;A;C;B;B;E;B;A;B;;PA;0;F;0;;3.0;;1.0;2.0;1.0;3;;1.0;;2
787859;C;E;B;B;5;E;B;C;C;A;A;B;A;B;A;B;A;A;C;A;A;D;A;B;B;SP;SP;1;F;0;;3.0;4.0;1.0;3.0;1.0;2;1.0;1.0;1.0;2
1427446;E;E;B;B;5;C;A;B;C;B;A;B;A;B;A;A;A;A;B;A;B;C;A;A;B;;RJ;0;F;1;;3.0;;;;1.0;3;;1.0;;3
124339;E;F;;;2;G;A;D;D;C;A;B;A;B;A;B;A;B;D;A;A;C;A;C;B;;RN;1;M;0;15.0;2.0;;;;1.0;12;;1.0;;1
315384;F;E;C;D;4;D;A;B;D;B;B;C;C;B;A;B;A;A;C;B;B;E;A;C;B;;MG;0;F;0;;3.0;;1.0;2.0;1.0;2;;1.0;;2
2702834;F;E;E;;4;K;A;B;D;B;A;B;A;B;A;B;B;B;D;B;B;E;B;D;B;;MG;0;M;1;;1.0;;;;1.0;1;;1.0;;3
2572405;B;E;A;B;4;B;A;C;D;B;C;B;A;B;A;A;A;B;B;B;A;E;A;B;B;;BA;1;F;0;6.0;2.0;;;;1.0;8;;1.0;;1
2113964;E;B;C;;2;B;A;B;B;A;A;B;B;A;A;A;A;A;B;A;A;C;A;A;B;;PA;1;F;0;17.0;2.0;;;;1.0;16;;1.0;;1
1663460;D;B;C;B;4;C;A;C;D;A;B;B;A;A;A;A;A;A;B;A;A;D;B;B;B;;MG;0;M;1;;3.0;;;;1.0;2;;1.0;;3
182018;E;D;C;A;5;C;A;B;C;B;A;B;B;A;A;A;A;A;B;A;A;C;A;B;B;;MG;0;F;0;1.0;1.0;;;;1.0;3;;1.0;;1
1643160;F;E;D;B;5;E;A;B;C;B;A;C;B;B;A;B;A;A;B;A;A;E;A;C;B;;PA;1;F;1;;3.0;;;;1.0;1;;1.0;;3
386689;E;E;B;B;4;F;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;E;A;A;B;;SP;0;F;0;;1.0;;1.0;2.0;1.0;3;;1.0;;2
2572647;C;D;D;D;4;E;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;D;A;A;B;;SP;0;F;0;1.0;1.0;;;;1.0;4;;1.0;;1
1142862;E;C;C;C;5;B;A;C;C;B;B;B;B;B;A;B;B;B;B;B;A;D;A;A;B;CE;CE;0;F;0;;3.0;2.0;1.0;2.0;1.0;3;2.0;1.0;1.0;2
893128;;D;;B;12;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;B;;PA;0;M;0;;2.0;;1.0;2.0;1.0;3;;1.0;;2
1992921;G;E;E;B;4;L;D;C;D;C;A;B;B;B;B;B;B;A;B;A;B;D;A;D;B;;SC;0;M;1;;3.0;;;;1.0;2;;1.0;;3
499354;B;G;B;E;3;D;A;B;C;B;A;B;A;A;A;B;A;A;B;A;A;D;B;A;B;BA;BA;0;F;0;;2.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
1909515;D;G;C;D;5;M;A;E;E;C;A;B;B;B;B;A;A;B;E;B;B;E;A;C;B;;MS;1;M;1;;1.0;;;;1.0;2;;1.0;;3
2371828;E;C;;;2;D;A;B;B;A;A;B;B;B;B;A;A;A;B;A;A;C;A;A;B;SP;SP;0;M;0;;1.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
2334518;D;E;;D;2;K;A;B;B;A;B;B;B;B;B;A;A;A;B;A;B;C;A;B;B;;PA;0;M;0;12.0;3.0;;;;2.0;11;;1.0;;1
414247;B;B;A;A;6;C;A;B;C;B;A;B;A;A;A;A;A;A;A;A;A;D;A;A;B;;BA;1;F;0;;1.0;;;;1.0;7;;1.0;;1
2379803;F;E;D;D;4;E;A;B;D;B;A;B;B;B;A;B;A;A;C;B;A;C;A;B;B;SP;SP;0;F;0;;3.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
1457552;G;F;D;B;4;I;A;B;D;A;A;B;A;B;A;A;A;B;B;B;B;E;B;B;B;;SP;0;M;0;9.0;1.0;;;;1.0;11;;1.0;;1
381398;;D;C;A;3;A;A;B;D;A;B;B;A;A;A;B;A;A;B;B;A;D;A;A;B;;MA;1;M;1;;3.0;;;;1.0;1;;1.0;;3
55545;C;D;C;B;2;B;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;C;A;A;B;;CE;1;F;0;1.0;3.0;;;;1.0;4;;1.0;;1
705849;E;E;;B;3;A;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;PE;PE;0;F;0;;3.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
740303;E;B;C;;4;H;A;C;D;B;A;B;B;B;A;B;A;A;B;A;B;D;A;A;B;;MG;0;F;0;;3.0;;1.0;2.0;1.0;3;;1.0;;2
2460890;E;E;D;D;5;C;A;B;D;A;A;B;A;A;A;B;A;A;B;A;A;C;A;B;B;;MG;1;F;0;3.0;2.0;;;;1.0;5;;1.0;;1
1059787;C;D;B;B;4;B;B;B;C;A;A;B;B;B;A;A;A;A;B;A;A;B;A;A;A;;SP;0;M;0;;3.0;;1.0;2.0;1.0;2;;1.0;;2
2247963;A;B;A;A;7;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;;CE;1;F;0;14.0;3.0;;;;1.0;12;;1.0;;1
251967;E;E;C;B;5;C;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;C;A;A;B;;GO;1;F;0;;3.0;;1.0;2.0;1.0;3;;1.0;;2
2368380;B;D;A;A;5;B;A;B;D;A;B;B;A;A;A;A;A;A;A;B;A;A;A;A;B;AL;AL;0;F;0;;1.0;2.0;1.0;2.0;1.0;3;2.0;1.0;1.0;2
476919;B;E;B;B;11;A;A;B;C;A;A;B;A;A;A;A;A;A;B;A;B;C;A;A;B;;BA;1;F;0;1.0;2.0;;;;1.0;4;;1.0;;1
2430766;;G;;D;1;C;A;B;B;A;A;B;A;A;A;B;A;A;B;A;A;B;A;B;A;;RS;0;F;0;7.0;;;;;1.0;9;;1.0;;1
2183229;F;G;C;D;4;K;A;B;D;B;B;B;A;B;B;B;A;B;C;B;A;D;A;D;B;;MG;0;M;0;;1.0;;1.0;2.0;1.0;3;;1.0;;2
512520;G;E;E;C;3;B;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;BA;BA;0;F;0;;1.0;4.0;1.0;3.0;1.0;2;1.0;1.0;1.0;2
1048958;;E;;B;3;F;A;B;C;A;A;B;B;B;B;A;A;B;B;A;A;D;A;A;B;;PR;1;F;0;4.0;3.0;;;;1.0;6;;1.0;;1
2272533;D;E;C;C;6;B;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;D;A;A;B;SP;SP;0;M;0;;2.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
2685749;;F;;;3;B;A;B;C;B;A;B;A;B;A;A;A;A;B;A;A;D;A;A;B;PR;PR;0;F;0;;1.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
953006;D;E;D;B;4;B;B;C;D;A;A;B;A;B;A;B;A;A;C;A;A;E;A;B;B;PE;PE;1;M;0;;3.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
2339492;C;B;C;A;3;F;A;C;D;B;C;B;A;A;A;A;A;B;D;A;A;D;A;C;B;MG;MG;1;M;0;;3.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
2273838;C;C;C;B;3;F;A;B;D;A;A;B;B;B;A;B;A;A;C;B;A;D;A;B;B;;BA;1;F;0;11.0;1.0;;;;1.0;11;;1.0;;1
453815;A;E;;;3;A;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A;PI;PI;1;F;0;;3.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
2559261;;;C;D;3;G;A;B;C;C;A;C;C;B;A;B;A;B;E;A;B;D;A;C;B;;SP;0;F;1;;1.0;;;;1.0;2;;1.0;;3
370439;B;D;C;B;3;B;A;C;C;A;B;B;B;A;A;A;A;A;B;A;A;D;A;A;B;RN;RN;0;F;0;;3.0;1.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
1225885;G;G;E;D;4;F;B;D;E;C;A;C;C;B;B;B;B;B;E;B;B;E;B;C;B;;RS;0;M;0;;1.0;;;3.0;1.0;4;;1.0;;2
2357750;G;G;E;E;4;N;B;C;D;C;A;B;B;B;B;B;A;B;C;B;B;E;A;B;B;;SP;0;F;1;;4.0;;;;1.0;2;;1.0;;3
1485745;E;D;C;B;4;G;A;B;C;B;A;B;B;B;A;B;A;A;C;B;A;C;A;B;B;;RS;0;F;0;1.0;3.0;;;;1.0;4;;1.0;;1
256703;B;D;A;B;4;E;A;C;D;B;C;B;B;B;A;A;A;A;B;A;A;E;A;B;B;;RS;1;F;0;;1.0;;1.0;2.0;1.0;3;;1.0;;2
1673554;E;F;C;D;3;E;A;B;C;A;A;B;B;A;A;A;A;A;B;A;A;D;A;B;B;;MT;0;M;0;;1.0;;;;1.0;7;;1.0;;1
1935390;B;B;;A;2;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;RN;RN;0;M;0;;3.0;2.0;1.0;2.0;1.0;5;1.0;1.0;1.0;2
1410520;B;B;B;B;4;C;A;B;D;A;A;B;A;B;A;B;A;A;B;A;A;C;A;A;B;;RJ;1;F;1;;1.0;;;;1.0;1;;1.0;;3
2378693;E;D;A;A;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;B;A;B;B;;AL;1;F;0;;1.0;;;;1.0;3;;1.0;;1
982643;E;F;D;C;5;D;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;C;A;B;B;PR;PR;1;F;0;;1.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
2641339;G;E;D;;5;K;A;B;D;B;B;B;B;B;A;A;A;B;B;A;A;E;A;D;B;;MG;0;F;1;;3.0;;;;1.0;2;;1.0;;3
1268787;;C;;B;4;B;A;B;D;A;B;B;A;B;A;A;A;A;A;A;A;D;A;A;A;;RS;0;F;0;;2.0;;;;1.0;11;;1.0;;1
740521;E;G;C;D;3;G;A;C;C;B;A;B;B;B;A;A;A;A;C;B;A;D;A;A;B;;SP;0;F;0;;1.0;;1.0;2.0;1.0;3;;1.0;;2
1287689;E;E;A;B;4;D;A;C;D;B;B;B;A;B;A;B;A;A;C;A;A;C;A;B;B;;MG;0;M;1;;1.0;;;;1.0;2;;1.0;;3
596994;E;F;D;D;3;F;A;C;C;B;A;B;A;B;A;A;A;A;C;A;A;C;A;B;B;;MG;0;M;0;1.0;3.0;;;;1.0;4;;1.0;;1
2100836;C;C;A;C;4;B;D;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;B;RJ;RJ;1;M;0;;2.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
1912404;F;F;;D;4;B;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;B;A;A;B;RS;RS;0;F;0;;1.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
1733965;B;D;C;B;3;B;A;B;D;A;A;B;A;B;A;B;A;A;B;A;A;D;B;B;B;;RJ;0;F;0;7.0;1.0;;;;1.0;10;;1.0;;1
2614324;G;F;E;B;4;N;A;B;E;C;B;B;B;B;B;A;A;A;B;A;A;E;A;C;B;;SC;0;M;1;;1.0;;;;;2;;1.0;;3
2088251;E;F;B;B;2;E;A;B;C;A;B;B;A;B;A;B;A;A;C;A;A;C;A;C;B;SP;SP;0;M;0;;1.0;4.0;1.0;3.0;1.0;3;1.0;1.0;1.0;2
126852;D;E;C;B;2;B;A;B;C;A;A;B;B;B;A;B;A;B;C;A;A;C;A;B;B;;AL;0;M;0;1.0;1.0;;;;1.0;3;;1.0;;1
2267148;;G;;B;3;G;A;D;D;C;A;B;B;B;A;B;A;B;C;A;A;D;A;D;B;;SC;0;M;0;1.0;1.0;;;;1.0;4;;1.0;;1
278459;E;D;B;B;4;C;A;C;D;B;A;B;B;B;A;A;A;A;B;A;A;D;A;B;B;;SP;0;F;0;;3.0;;1.0;2.0;1.0;2;;1.0;;2
694769;D;E;A;B;4;C;A;C;C;B;B;B;B;B;A;A;A;A;B;A;A;D;A;A;B;;RO;1;F;1;;2.0;;;;1.0;2;;1.0;;3
765087;F;E;D;B;3;H;A;D;E;C;A;B;C;B;B;A;A;A;C;A;A;D;A;B;B;MS;MS;0;F;0;;1.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
348764;E;C;A;A;3;E;A;C;D;B;A;B;B;B;A;A;A;A;B;A;A;C;A;A;B;;SP;0;F;1;;1.0;;;;1.0;2;;1.0;;3
1395817;E;G;A;D;3;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;B;;BA;1;F;0;;3.0;;1.0;2.0;1.0;3;;1.0;;2
29373;B;A;C;B;2;C;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;C;A;B;B;;BA;0;F;0;6.0;2.0;;;;1.0;11;;1.0;;1
982046;E;E;;;3;B;A;B;C;B;A;B;B;B;A;B;A;B;B;A;A;C;A;B;B;MG;MG;1;M;0;;3.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
280635;E;E;D;;5;B;A;C;D;B;B;B;A;B;A;B;A;A;C;A;B;D;A;C;B;;PI;1;M;0;;1.0;;1.0;2.0;1.0;2;;1.0;;2
2503310;B;F;B;D;4;B;A;B;C;A;B;B;B;A;A;B;A;A;A;A;A;C;A;A;B;;BA;0;F;0;;3.0;;1.0;2.0;1.0;3;;1.0;;2
1005551;B;B;C;B;2;C;A;B;B;A;B;B;B;B;A;B;A;A;A;A;A;C;A;B;B;;CE;0;F;0;9.0;4.0;;;;2.0;11;;1.0;;1
402268;B;E;C;D;3;E;A;B;B;A;B;B;B;B;A;B;A;A;B;A;B;C;A;B;B;SP;SP;0;F;0;;1.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
105904;A;E;B;B;3;D;A;B;C;B;A;B;B;B;A;B;A;A;B;A;A;C;A;B;B;;BA;0;M;0;2.0;1.0;;;;1.0;5;;1.0;;1
646421;E;E;A;B;4;B;A;B;B;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;A;;AP;1;F;0;4.0;;;;;1.0;7;;1.0;;1
395506;B;E;B;B;4;D;A;C;C;A;B;B;A;B;A;A;A;A;B;B;A;E;B;A;B;;PA;1;F;1;;3.0;;;;1.0;1;;1.0;;3
364609;A;A;B;B;1;A;A;B;B;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;B;;CE;0;F;0;;1.0;;;;1.0;11;;1.0;;1
663150;F;E;E;B;4;N;A;D;C;C;A;B;B;B;A;B;A;B;C;B;B;E;B;B;B;RJ;RJ;0;M;0;;1.0;4.0;1.0;3.0;1.0;2;1.0;1.0;4.0;2
1070580;G;G;D;E;3;M;D;D;D;B;B;B;B;B;A;B;A;A;B;A;A;D;A;D;B;PE;PE;0;F;0;;3.0;4.0;1.0;3.0;1.0;2;1.0;1.0;1.0;2
1911037;B;E;B;D;4;B;A;B;C;A;B;B;A;B;A;A;A;A;B;A;A;D;A;A;B;;PA;1;F;0;9.0;3.0;;;;1.0;11;;1.0;;1
423401;A;A;A;A;3;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;B;;PA;1;F;0;14.0;3.0;;;;1.0;12;;1.0;;1
497481;C;E;B;B;2;C;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;B;A;A;A;;RS;0;M;0;2.0;2.0;;;;1.0;7;;1.0;;1
2054502;D;C;B;B;4;D;A;B;C;B;A;B;B;B;A;B;A;B;C;A;B;D;A;A;B;SP;SP;0;M;0;;1.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
511914;;B;;A;3;A;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;D;A;A;B;;RN;1;F;0;;3.0;;1.0;2.0;;3;;1.0;;2
1342074;C;F;B;B;3;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;B;B;A;B;PA;PA;1;M;0;;3.0;2.0;1.0;2.0;1.0;2;1.0;2.0;1.0;2
2503649;;F;;;2;B;A;B;B;A;A;B;B;B;A;B;A;A;B;A;A;B;A;B;B;;SP;0;M;0;1.0;1.0;;;;3.0;3;;1.0;;1
821700;E;G;B;D;6;E;A;B;E;B;B;B;B;A;A;A;A;A;A;A;A;E;A;B;B;PE;PE;0;F;0;;3.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
140477;B;B;A;A;3;B;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;D;A;A;B;;BA;1;F;0;15.0;3.0;;;;1.0;12;;1.0;;1
1063028;B;B;A;A;2;C;A;B;B;B;B;B;A;A;A;A;A;A;B;A;A;B;A;B;B;;PR;0;M;0;6.0;1.0;;;;;9;;1.0;;1
391289;;;;;3;B;A;B;B;A;A;A;B;A;A;A;A;A;A;A;A;B;A;A;A;;BA;1;M;1;;3.0;;;;1.0;3;;1.0;;3
537744;E;E;D;B;4;F;A;B;C;B;A;B;A;B;A;B;A;A;C;A;B;D;A;C;B;;DF;0;F;0;2.0;1.0;;;;1.0;4;;1.0;;1
619724;D;E;A;B;4;C;A;B;C;B;B;B;A;B;A;A;A;A;C;A;A;D;A;A;B;;PE;0;F;0;;3.0;;1.0;2.0;1.0;2;;1.0;;2
2052440;B;B;A;B;2;C;A;B;C;A;A;B;A;B;A;A;A;A;B;A;B;C;A;A;A;;ES;1;F;0;13.0;2.0;;;;2.0;11;;1.0;;1
917225;F;E;C;B;3;E;A;B;C;B;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B;;MG;0;F;0;2.0;1.0;;;;1.0;5;;1.0;;1
1423536;;C;B;B;5;B;B;B;B;A;A;B;A;A;A;A;A;A;B;A;A;A;A;A;A;;RJ;1;F;0;4.0;3.0;;;;1.0;7;;1.0;;1
689188;B;E;B;C;5;H;A;B;C;A;A;B;A;B;A;B;A;B;B;B;A;E;A;B;B;;SP;1;F;0;;3.0;;1.0;2.0;1.0;3;;1.0;;2
1554124;B;C;A;A;2;C;A;B;D;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B;;PI;1;F;0;17.0;1.0;;;;1.0;14;;1.0;;1
721;D;B;C;A;3;B;A;B;D;B;B;B;B;A;A;A;A;A;B;B;A;D;A;B;B;;PB;1;F;0;7.0;1.0;;;;1.0;9;;1.0;;1
2256909;;C;;;2;F;A;B;C;A;A;B;A;B;A;B;A;B;C;A;A;B;A;A;B;;SC;1;M;0;15.0;3.0;;;;1.0;15;;1.0;;1
1292774;D;D;C;B;5;E;A;B;C;B;A;B;B;B;B;B;A;B;B;A;B;E;A;B;B;SP;SP;0;M;0;;1.0;2.0;1.0;2.0;1.0;4;1.0;1.0;1.0;2
528625;B;D;A;A;3;A;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;C;A;A;B;;PB;1;F;0;6.0;3.0;;;;1.0;8;;1.0;;1
2315229;D;E;C;C;4;C;A;C;C;A;B;B;A;A;A;B;A;A;B;A;A;E;A;B;B;;MG;1;F;0;1.0;1.0;;;;1.0;4;;1.0;;1
238043;;D;;B;3;B;A;B;C;A;B;B;A;A;A;B;A;A;B;A;A;D;A;A;B;;PI;0;M;1;;1.0;;;;1.0;1;;1.0;;3
1451696;B;E;D;B;4;E;C;D;D;A;A;B;B;B;B;B;A;B;B;A;B;B;B;A;B;SE;SE;1;M;0;;1.0;4.0;1.0;3.0;1.0;3;1.0;1.0;1.0;2
1781296;E;E;;;2;B;A;B;B;A;A;B;B;B;A;B;A;A;B;A;B;C;A;A;B;;SP;0;M;0;;2.0;;1.0;2.0;1.0;3;;1.0;;2
1875026;E;F;C;;2;B;A;B;C;A;B;B;A;A;A;B;A;A;A;A;A;C;A;A;B;BA;BA;0;F;0;;3.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
1358777;B;E;C;D;3;B;A;C;D;A;B;B;A;B;A;A;A;A;B;A;A;D;A;B;B;;CE;0;F;0;1.0;1.0;;;;1.0;3;;1.0;;1
2158310;G;G;E;E;3;O;A;B;D;C;A;B;B;B;A;B;A;B;E;A;B;D;B;D;B;RN;RN;0;M;0;;1.0;4.0;1.0;3.0;1.0;2;1.0;1.0;1.0;2
169509;E;C;C;B;5;B;A;B;D;A;A;B;A;B;A;A;A;A;B;A;A;E;A;B;B;;PE;0;M;0;2.0;1.0;;;;1.0;4;;1.0;;1
1628361;E;E;D;B;4;I;A;C;C;B;A;B;B;B;A;B;A;B;B;B;A;C;A;B;B;SC;SC;0;M;0;;1.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
2588845;C;F;C;B;6;C;A;B;D;A;A;B;A;A;A;B;A;A;B;A;A;C;A;A;B;;MG;0;F;0;;3.0;;1.0;2.0;1.0;3;;1.0;;2
243508;B;D;A;A;6;B;A;B;D;A;B;B;B;A;A;A;A;A;B;A;A;D;A;A;B;AL;AL;0;F;0;;3.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
1711941;G;G;D;D;4;I;A;C;D;C;A;B;B;B;A;B;A;B;C;B;B;E;B;E;B;;SP;0;F;0;;1.0;;2.0;2.0;1.0;3;;1.0;;2
1611828;D;E;C;D;2;B;A;D;C;B;A;B;B;B;B;B;A;B;C;B;B;C;A;B;B;SC;SC;0;F;0;;1.0;1.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
1496542;E;G;C;D;5;H;A;D;D;B;B;B;B;A;A;B;A;A;D;A;B;E;A;C;B;;RO;1;F;1;;1.0;;;;1.0;1;;1.0;;3
831462;C;B;D;;4;B;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;C;A;A;A;;PA;0;F;0;1.0;1.0;;;;1.0;3;;1.0;;1
560098;A;A;A;B;5;B;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;B;A;A;B;;BA;0;M;0;2.0;2.0;;;;1.0;6;;1.0;;1
1794673;B;E;B;A;3;D;A;B;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;A;A;;BA;1;M;0;8.0;2.0;;;;1.0;10;;1.0;;1
401130;D;C;A;B;2;C;A;C;D;B;B;A;B;A;A;A;A;A;B;A;A;C;B;B;B;;ES;0;F;0;;1.0;;1.0;2.0;1.0;3;;1.0;;2
1261740;E;G;B;D;3;G;A;C;C;B;A;B;B;B;A;B;A;A;D;A;B;D;B;B;B;;RJ;0;F;0;;1.0;;1.0;2.0;1.0;3;;1.0;;2
373692;B;B;A;A;4;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;B;CE;CE;1;M;0;;3.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
1603560;D;E;C;D;4;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B;;BA;0;F;0;3.0;1.0;;;;1.0;5;;2.0;;1
1598805;C;E;C;B;3;A;A;B;C;A;A;B;B;A;A;A;A;A;A;A;A;B;A;A;B;;SE;0;F;1;;1.0;;;;1.0;1;;1.0;;3
1389452;F;F;E;D;2;N;B;D;C;B;A;B;B;B;A;B;B;B;B;B;B;D;B;C;B;;RS;0;F;0;2.0;1.0;;;;1.0;5;;1.0;;1
2600477;E;E;C;C;4;G;A;B;D;B;B;B;B;B;A;B;B;A;C;B;B;E;A;A;B;SP;SP;0;M;0;;1.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
1994201;D;D;A;A;4;F;A;E;E;D;A;B;B;A;A;B;A;B;C;A;A;D;A;A;B;MG;MG;0;M;0;;3.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
102297;A;A;B;B;1;E;A;B;D;A;B;B;A;B;B;A;A;A;A;A;A;B;A;A;B;;AC;1;M;0;;1.0;;;;3.0;12;;1.0;;1
1520265;G;E;B;B;3;D;A;C;D;B;B;B;A;A;A;A;A;A;B;B;A;C;B;A;B;MG;MG;0;F;0;;1.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
1430756;E;F;D;B;4;G;A;C;D;B;A;B;A;B;A;B;A;B;C;A;B;D;A;C;B;SP;SP;0;M;0;;1.0;4.0;1.0;3.0;1.0;1;1.0;1.0;1.0;2
699135;C;F;;B;2;C;A;B;C;A;A;B;B;B;B;B;A;A;B;A;A;C;A;A;A;;PR;1;F;0;;1.0;;1.0;2.0;1.0;2;;1.0;;2
2658473;E;E;C;B;7;C;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;E;A;A;B;;BA;1;F;0;2.0;2.0;;;;1.0;4;;1.0;;1
1566188;E;E;C;C;2;E;A;B;B;A;A;B;A;B;B;B;A;A;A;A;A;B;A;A;B;;SC;1;F;0;17.0;3.0;;;;1.0;13;;1.0;;1
232608;C;E;C;D;3;D;A;B;C;A;A;B;A;B;A;A;A;A;B;A;A;B;A;A;B;SP;SP;1;F;0;;1.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
749057;;E;A;A;4;A;A;B;E;A;B;B;A;A;A;B;A;A;B;A;A;B;A;B;B;CE;CE;1;F;0;;3.0;2.0;1.0;2.0;1.0;4;2.0;1.0;1.0;2
732761;E;D;A;B;2;C;A;B;C;B;A;B;B;B;A;B;A;A;B;B;A;C;A;A;B;;RS;1;M;0;;1.0;;1.0;2.0;1.0;3;;1.0;;2
