;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;SG_UF_ESC;SG_UF_PROVA;TP_LINGUA;TP_SEXO;IN_TREINEIRO;TP_ANO_CONCLUIU;TP_COR_RACA;TP_DEPENDENCIA_ADM_ESC;TP_ENSINO;TP_ESCOLA;TP_ESTADO_CIVIL;TP_FAIXA_ETARIA;TP_LOCALIZACAO_ESC;TP_NACIONALIDADE;TP_SIT_FUNC_ESC;TP_ST_CONCLUSAO
1777247;E;E;D;;4;N;A;D;D;B;A;B;B;B;B;B;A;B;C;A;A;E;A;C;B;;ES;0;F;1;;1.0;;;;1.0;1;;1.0;;3
2618428;E;F;B;D;3;D;A;B;D;B;A;B;B;B;A;A;A;A;C;B;A;E;A;B;B;;BA;1;F;1;;2.0;;;;1.0;1;;1.0;;3
2085000;;;A;A;3;B;A;B;C;A;A;B;B;A;A;A;A;A;B;A;A;C;A;A;B;;SE;0;F;0;3.0;2.0;;;;1.0;7;;1.0;;1
857110;E;E;B;A;4;B;A;C;C;A;A;B;A;B;A;A;A;A;B;A;A;E;A;A;B;;AL;1;M;1;;3.0;;;;1.0;1;;1.0;;3
2347681;E;D;B;B;5;D;A;B;C;A;A;B;B;B;B;B;A;A;C;A;A;E;A;B;B;;SP;1;M;0;5.0;3.0;;;;1.0;7;;1.0;;1
1820163;C;F;C;D;2;G;A;C;C;B;B;B;B;B;A;B;A;B;B;A;B;C;A;B;B;SP;SP;0;F;0;;1.0;4.0;1.0;3.0;1.0;3;1.0;1.0;1.0;2
1523205;E;B;;B;5;C;A;B;C;B;A;B;A;A;A;B;A;A;B;A;A;C;A;A;B;;DF;0;F;0;;1.0;;1.0;2.0;1.0;4;;1.0;;2
984604;E;E;D;D;3;O;B;B;C;B;A;B;B;B;A;B;A;B;C;B;A;D;B;D;B;SP;SP;0;M;0;;2.0;4.0;1.0;3.0;1.0;3;1.0;1.0;1.0;2
1767407;E;F;;D;2;D;A;B;C;A;A;B;A;B;B;A;A;B;B;A;A;B;B;B;B;;RN;0;M;0;;5.0;;;;;5;;1.0;;1
113456;;D;B;B;5;B;A;B;B;A;A;B;B;B;A;A;A;A;B;A;A;C;A;A;B;PA;PA;0;F;0;;3.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
494774;B;D;A;B;2;B;A;B;B;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;B;;PI;1;M;0;;2.0;;;;1.0;3;;1.0;;1
703751;E;E;B;B;3;B;A;B;B;A;A;A;A;A;A;B;A;A;A;A;A;B;A;A;B;RJ;RJ;0;F;0;;1.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
1832832;D;E;C;D;4;I;A;C;C;B;B;B;B;B;A;B;A;A;E;B;A;E;A;B;B;RJ;RJ;0;M;0;;2.0;4.0;1.0;3.0;1.0;2;1.0;1.0;1.0;2
1733274;A;A;B;A;3;C;A;B;C;B;B;B;A;A;A;A;A;A;B;A;A;C;A;B;B;;MG;1;F;0;;1.0;;;;2.0;15;;1.0;;1
1344735;E;E;D;B;4;D;A;B;C;B;A;B;A;B;A;B;A;A;B;A;B;D;A;A;B;;RJ;1;F;0;;1.0;;1.0;2.0;1.0;3;;1.0;;2
2172791;E;E;C;B;3;D;A;D;C;B;A;B;A;B;A;B;A;B;E;A;A;E;A;A;B;;RJ;0;F;1;;1.0;;;;1.0;1;;1.0;;3
1164674;B;D;A;A;5;B;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;B;A;A;B;;BA;1;F;1;;3.0;;;;1.0;2;;1.0;;3
628399;;G;D;D;4;C;A;B;C;B;A;B;A;B;A;B;A;A;B;A;A;B;A;B;B;;SC;1;F;0;;4.0;;1.0;2.0;1.0;4;;3.0;;2
268299;B;E;A;C;3;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B;PB;PB;0;M;0;;2.0;2.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
117165;B;D;B;B;3;B;A;B;B;A;A;B;B;A;A;A;A;A;B;A;A;C;A;A;B;;RN;0;F;0;15.0;3.0;;;;1.0;12;;1.0;;1
84896;E;E;;B;2;C;A;C;C;B;A;B;B;B;A;B;A;A;C;A;A;C;B;A;B;;RJ;0;M;0;2.0;3.0;;;;1.0;5;;1.0;;1
2388631;G;G;D;D;7;M;C;D;D;B;B;C;A;B;A;B;A;A;C;A;B;E;A;C;B;MG;MG;1;F;0;;1.0;4.0;1.0;2.0;1.0;3;1.0;1.0;1.0;2
2635780;E;E;D;D;4;G;A;C;C;C;B;B;B;C;B;B;B;B;B;A;A;D;A;B;B;;SP;0;M;0;1.0;1.0;;;;1.0;3;;1.0;;1
2268309;G;E;E;D;3;O;A;C;D;B;A;B;B;B;B;B;A;A;B;A;A;D;A;B;A;SP;SP;0;M;0;;3.0;4.0;1.0;3.0;1.0;3;1.0;1.0;1.0;2
